person_id	person	income	ptype	name	transport_raw
ccf8c7459133118cd8e04e92d7354c60	Айнбындер М.Я.	741414.45	_himself	Айнбындер М.Я.	Ваз 21093
ccf8c7459133118cd8e04e92d7354c60	Айнбындер М.Я.	397623.64	wife	супруга	СУЗУКИ ЭСКУДО
af6c35becad1c2694bd4568447080ae7	Антоненко А.С.	552249.39	_himself	Антоненко А.С.	Хундай тусан
af6c35becad1c2694bd4568447080ae7	Антоненко А.С.	306486.01	wife	супруга	
ca94dab309f75acde46cf6e86c49600e	Абдусаламов А.С.	649669.66	_himself	Абдусаламов А.С.	Мерседес бенс с 203
ca94dab309f75acde46cf6e86c49600e	Абдусаламов А.С.	60203.03	daughter	дочь	
124cbea79400571e10af2ff10247fa2b	Алюбердиев Р.Х.	850213.75	_himself	Алюбердиев Р.Х.	Хонда седан
124cbea79400571e10af2ff10247fa2b	Алюбердиев Р.Х.	393897.7	wife	супруга	
fa97dc97afa0b4e7cba834e3a3512505	Анищенко В.М.	1606867.17	_himself	Анищенко В.М.	Тойота королла
fa97dc97afa0b4e7cba834e3a3512505	Анищенко В.М.	48000	wife	супруга	
4b29c47a831f43229c042a6cc06fa319	Афашагов М.Х.	908760.72	_himself	Афашагов М.Х.	
4b29c47a831f43229c042a6cc06fa319	Афашагов М.Х.	75243	wife	супруга	
bc4347b602489c6edd6906c9897f1fc7	Анохин Ю.В.	1004539.6	_himself	Анохин Ю.В.	Автомобиль Хюндай Санта-Фе
bc4347b602489c6edd6906c9897f1fc7	Анохин Ю.В.	760208.77	wife	супруга	
9eea7349458f84e4d2457cf35bdf9e7c	Ариндарчук А.В.	1389834.05	_himself	Ариндарчук А.В.	Лексус RX300
9eea7349458f84e4d2457cf35bdf9e7c	Ариндарчук А.В.	None	wife	супруга	
9eea7349458f84e4d2457cf35bdf9e7c	Ариндарчук А.В.	None	daughter	дочь	
7deb63456a849a04f8812f4aae0eb874	Агаропева Н.И.	1059698.38	_himself	Агаропева Н.И.	
4e8b418e2758a445219ba485820c5a2d	Алуев О.А.	1030173.35	_himself	Алуев О.А.	
8fa4455bf52a6668f294e128d353b9bd	Абрамов А.П.	787556.95	_himself	Абрамов А.П.	
8fa4455bf52a6668f294e128d353b9bd	Абрамов А.П.	None	wife	супруга	Легковой автомобиль Тойота RAV-4
1b8e409cdaaa22fa8101edb540aa95df	Абрамов А.Ю.	1375972.2	_himself	Абрамов А.Ю.	
1b8e409cdaaa22fa8101edb540aa95df	Абрамов А.Ю.	490237.32	wife	супруга	
b408597ec8312d1ed35c80c28526d8a7	Алькаев В.П.	1025826	_himself	Алькаев В.П.	
b408597ec8312d1ed35c80c28526d8a7	Алькаев В.П.	82000	wife	супруга	
9e1dfd4f11b75ca4693d1ca9385c9bff	Андреев А.А.	1182814.22	_himself	Андреев А.А.	
9e1dfd4f11b75ca4693d1ca9385c9bff	Андреев А.А.	217379.36	wife	супруга	Автомобиль «Нисан микро»
bd27070d013bd867df400c52ef10d663	Афанасьев С.Г.	955173.44	_himself	Афанасьев С.Г.	Автомобиль «Мицубиси»
bd27070d013bd867df400c52ef10d663	Афанасьев С.Г.	600154	wife	супруга	
fac5a0bd2ae7ae27dc5c2e39ab818372	Абдулкушмов М.М.	1244603.63	_himself	Абдулкушмов М.М.	
052911cac7631dab63d0a59151712aed	Алютин О.В.	542611.8	_himself	Алютин О.В.	Сузуки витара
2d1f924ce7cbcd592a03910652726b8e	Акимов О.В.	872967	_himself	Акимов О.В.	тойота
2d1f924ce7cbcd592a03910652726b8e	Акимов О.В.	93499	wife	супруга	
486743a6af2ab0f1af08e2d7445603e9	Акжигитов Р.И.	8339914.75	_himself	Акжигитов Р.И.	
486743a6af2ab0f1af08e2d7445603e9	Акжигитов Р.И.	120000	wife	супруга	
7ddb197c466163d789b56ddda5c6f69a	Александров М.Ю.	684324.68	_himself	Александров М.Ю.	Мотоцикл Сузуки, Гидроцикл Хонда
7ddb197c466163d789b56ddda5c6f69a	Александров М.Ю.	None	wife	супруга	
630a60535ded7c10e203accf782dd114	Андреев А.А.	1155655.68	_himself	Андреев А.А.	Мазда 6
643745469231efb442bf503b06aadff0	Андросенко Н.Н.	652993.5	_himself	Андросенко Н.Н.	Шевроле Ланос Киа церато
643745469231efb442bf503b06aadff0	Андросенко Н.Н.	913656	wife	супруга	
5feec5ce3a74d822ca5ea8d02ab9796c	Ахлестин В.Ф.	2085440	_himself	Ахлестин В.Ф.	
5feec5ce3a74d822ca5ea8d02ab9796c	Ахлестин В.Ф.	248995.28	wife	супруга	
94eae019538223203cf4681cea8fce47	Антонов И.А.	554103	_himself	Антонов И.А.	
94eae019538223203cf4681cea8fce47	Антонов И.А.	343033	wife	супруга	
94eae019538223203cf4681cea8fce47	Антонов И.А.	4400	son	сын	
0d0a7def19e5b2aab365bda01a0404c3	Антонов П.Н.	728.624	_himself	Антонов П.Н.	Тойота - камри
0d0a7def19e5b2aab365bda01a0404c3	Антонов П.Н.	540.407	wife	супруга	
dcd33fc3bd6c3eb6e0e275619f4ccf2a	Абраменко В.Г.	None	_himself	Абраменко В.Г.	
dcd33fc3bd6c3eb6e0e275619f4ccf2a	Абраменко В.Г.	None	wife	супруга	
55ad7841d419c5e363dbf82f9676a0af	Арестов А.И.	None	_himself	Арестов А.И.	
60ecd9501e554a707588c3514e0d82f2	Арестова Е.Н.	None	_himself	Арестова Е.Н.	
ae1a09192210ccfce5b810cbfb04e8ae	Акуреев С.Г.	859741.7	_himself	Акуреев С.Г.	ВАЗ 2106
1c6324ca0c1fcc20abc42a3fbfdbfa1f	Александров А.А.	924187.01	_himself	Александров А.А.	
1c6324ca0c1fcc20abc42a3fbfdbfa1f	Александров А.А.	889678.57	wife	супруга	Автомобиль легк. Хендай Акцент
d7da32b129666dadbd6dc3cf80af8b5d	Аврамцев В.В.	556857.25	_himself	Аврамцев В.В.	
e8c6305f57d96ee0ea4dde701eb7f46f	Азаров С.М.	846882.46	_himself	Азаров С.М.	
e8c6305f57d96ee0ea4dde701eb7f46f	Азаров С.М.	790648.59	wife	супруга	
e8c6305f57d96ee0ea4dde701eb7f46f	Азаров С.М.	None	son	сын	
e8c6305f57d96ee0ea4dde701eb7f46f	Азаров С.М.	None	son	сын	
c174559e8e317d878eca8a57e0cbec04	Антипов А.П.	763.041	_himself	Антипов А.П.	Нисан-алмера классик
c174559e8e317d878eca8a57e0cbec04	Антипов А.П.	179.816	wife	супруга	
5db4215183feabc49c550a3d408b17cb	Асямолов А.А.	681116.95	_himself	Асямолов А.А.	
5db4215183feabc49c550a3d408b17cb	Асямолов А.А.	240945.71	wife	супруга	
19c833759527bf799456a94c47445860	Андреев В.Л.	975467	_himself	Андреев В.Л.	Фольсваген гольф вариант
19c833759527bf799456a94c47445860	Андреев В.Л.	250299	wife	супруга	
cd42efaa92ed8b4666d1531d0dac0ba0	Афанасьев Г.А.	1081348	_himself	Афанасьев Г.А.	Шкода Октавиа Тур Газ 69
cd42efaa92ed8b4666d1531d0dac0ba0	Афанасьев Г.А.	226252	wife	супруга	
68615a40244696ac74c8c7a11e97f4c6	Алексеев А.В.	767461.07	_himself	Алексеев А.В.	Toyota RAV 4
68615a40244696ac74c8c7a11e97f4c6	Алексеев А.В.	317504.27	wife	супруга	
a1f5db61f1df10cf09df4e75668e1982	Арсентьев Ю.В.	1611613.06	_himself	Арсентьев Ю.В.	
a1f5db61f1df10cf09df4e75668e1982	Арсентьев Ю.В.	148960.23	wife	супруга	Дайхатсу Териос
1e238600a730e00f442b79eec8579a0a	Андрианова Т.Н.	846279	_himself	Андрианова Т.Н.	Автомобиль ВАЗ-2104
1e238600a730e00f442b79eec8579a0a	Андрианова Т.Н.	327840.12	husband	супруг	
f6f312375ac55ef0fd854eb02e447215	Акалелов К.Б.	1119348.71	_himself	Акалелов К.Б.	
f6f312375ac55ef0fd854eb02e447215	Акалелов К.Б.	None	wife	супруга	Киа карнивал
f6f312375ac55ef0fd854eb02e447215	Акалелов К.Б.	None	daughter	дочь	
dd95f42db8a53f4b2b46053ad12a6022	Бабнин Р.В.	2655456.8	_himself	Бабнин Р.В.	
dd95f42db8a53f4b2b46053ad12a6022	Бабнин Р.В.	671627.72	wife	супруга	
e6e1d3375327265368662b25e0d4eb6f	Белоцерковный В.А.	1300268.71	_himself	Белоцерковный В.А.	Ленд крузер Прадо Лендровер фрилендер
e6e1d3375327265368662b25e0d4eb6f	Белоцерковный В.А.	643480.5	wife	супруга	
570756ad4c1b8f8b3ed5649379b0790b	Бушуев А.В.	817824.73	_himself	Бушуев А.В.	Ниссан X-TRAIL
570756ad4c1b8f8b3ed5649379b0790b	Бушуев А.В.	800000	wife	супруга	
570756ad4c1b8f8b3ed5649379b0790b	Бушуев А.В.	135000	daughter	дочь	
ea2c326ed5395720b527bc1791a68c2d	Боронин А.Н.	1057847.99	_himself	Боронин А.Н.	
ea2c326ed5395720b527bc1791a68c2d	Боронин А.Н.	None	wife	супруга	
c8c28d5ceae68a7783d8ae77aae30242	Болтнев А.Н.	926584.9	_himself	Болтнев А.Н.	
c8c28d5ceae68a7783d8ae77aae30242	Болтнев А.Н.	230980.25	wife	супруга	
80416803ea504afda2f8f8947870cc12	Борзенко С.В.	1049678.33	_himself	Борзенко С.В.	
80416803ea504afda2f8f8947870cc12	Борзенко С.В.	1125194.6	wife	супруга	
3a3aa377fab1f720be2ad9c0d8a04eea	Бурцев В.Н.	725575.42	_himself	Бурцев В.Н.	
3a3aa377fab1f720be2ad9c0d8a04eea	Бурцев В.Н.	422480.97	wife	супруга	
