_id,name,code,image
1,МТС,"[""25001"",""25013"",""25093""]",
2,Мегафон,"[""25002"",""25023""]",
3,Нижегородская сотовая связь,"[""25003""]",
4,Билайн,"[""25004"",""25028"",""25099""]",
5,ЕнисейТелеком,"[""25005""]",
6,Скайлинк,"[""25006"",""25009""]",
7,Смартс,"[""25007"",""25015""]",
9,ДонТелеком,"[""25010""]",
10,Акос (БайкалВестКом),"[""25012""]",
13,Новая телефонная компания,"[""25016""]",
14,Ютел,"[""25017"",""25039""]",
15,Теле2,"[""25019"",""25020""]",
19,Мотив,"[""25035""]",
20,Тамбов GSM,"[""25038""]",
22,Cтаврапольский оператор сс,"[""25044""]",
23,ПримТелефон,"[""25092""]",
