_id,title,short,description
1,Организационно-аналитический департамент,ОАД МВД России,"Комплексный анализ и планирование деятельности Министерства, определение общей стратегии в сфере борьбы с преступностью."
2,Главное управление экономической безопасности  и противодействия коррупции,ГУЭБИПК МВД России,"Борьба с преступлениями экономической и коррупционной направленности, фальшивомонетничеством, легализацией (отмыванием) доходов, полученных преступным путем, а также с преступлениями в сфере внешнеэкономической деятельности"
3,Главное управление уголовного розыска,ГУУР МВД России,"Оперативно-розыскная деятельность в полном объеме, в том числе организация раскрытия тяжких и особо тяжких преступлений общеуголовной направленности, а также в среде несовершеннолетних; преступлений против собственности, вызвавших широкий общественный резонанс (серийные кражи, преступные посягательства на автотранспорт, хищение культурных ценностей, разбои и грабежи); организация и осуществление розыска лиц (скрывшихся от органов дознания, следствия или суда, пропавших без вести, в случае признания лица безвестно отсутствующими)."
4,Главное управление по противодействию экстремизму,ГУПЭ МВД России,"Противодействие экстремистской деятельности и терроризму, координация взаимодействия Министерства с федеральными органами исполнительной власти, органами исполнительной власти субъектов Российской Федерации в данной сфере."
5,Управление «К» МВД России,,"Борьба с преступлениями в сфере компьютерной информации<br />
Пресечение противоправных действий в информационно-телекоммуникационных сетях, включая сеть Интернет<br />
Борьба с незаконным оборотом радиоэлектронных и специальных технических средств.<br />
Выявление и пресечение фактов нарушения авторских и смежных прав в сфере информационных технологий. <br />
Борьба с международными преступлениями в сфере информационных технологий<br />
Международное сотрудничество в области борьбы с преступлениями, совершаемыми с использованием информационных технологий"
6,Главное управление по обеспечению охраны общественного порядка и координации взаимодействия с органами исполнительной власти субъектов РФ,ГУОООП МВД России,"Обеспечение правопорядка на улицах и в иных общественных местах; при проведении публичных и массовых мероприятий; в жилом секторе на объектах социального назначения; контроль за выдачей, переоформлением, продлением срока действия, аннулированием (приостановлением действия) лицензий (разрешений) на оружие; обеспечение эффективности охраны и конвоирования подозреваемых и обвиняемых, а также изоляторов временного содержания подозреваемых и обвиняемых, центров временного содержания несовершеннолетних правонарушителей, специальных приемников для содержания лиц, арестованных в административном порядке."
7,Главное управление по обеспечению безопасности дорожного движения,ГУОБДД МВД России,"Координация деятельности федеральных органов исполнительной власти и органов исполнительной власти субъектов Российской Федерации по обеспечению безопасности дорожного движения, а также контроль и надзор в данной сфере."
8,Главное управление вневедомственной охраны,ГУВО МВД России,"Охрана объектов и имущества (в том числе при его транспортировке) на договорной основе постами полиции и с помощью технических средств охраны, реагирование на тревожные сигналы.  "
9,Главное управление на транспорте,ГУТ МВД России,"Обеспечение безопасности населения на транспорте (железнодорожном, водном и воздушном), организация противодействия преступности, охраны общественного порядка и обеспечения общественной безопасности на объектах транспорта. "
10,Договорно-правовой департамент,ДПД МВД России,"Совершенствование нормативно-правового регулирования сферы внутренних дел, проведение правовой и антикоррупционной экспертиз проектов нормативных правовых актов и иных документов, подготавливаемых в системе МВД России, координация международного сотрудничества, официальное разъяснение отдельных положений нормативных правовых актов МВД России."
11,Главное управление собственной безопасности,ГУСБ МВД России,"Обеспечение собственной безопасности, противодействие коррупции в системе МВД России, государственная защита сотрудников органов внутренних дел Российской Федерации, федеральных государственных гражданских служащих и их близких."
12,Следственный департамент,СД МВД России,"Расследование преступлений, отнесенных к подследственности следователей органов внутренних дел Российской Федерации, контроль за законностью решений и действий следователей органов внутренних дел Российской Федерации."
13,Департамент государственной службы и кадров,ДГСК МВД России,"Профессиональная подготовка кадров МВД России, подготовка кадров для правоохранительных органов зарубежных стран, организация мобилизационной подготовки, мобилизации и гражданской обороны в системе МВД России."
