_id,name,position,region_id
274,Полиция,1,74
275,Полиция,1,89
307,Полиция,1,29
311,Полиция,1,54
312,Полиция,1,76
334,Полиция,1,22
410,Полиция,1,81
417,Полиция,1,92
430,Полиция,1,80
433,Полиция в Республике Адыгея,3,1
437,Полиция,1,2
440,Полиция в Республике Бурятия,1,3
443,Полиция в Республике Алтай,3,4
446,Полиция в Республике Дагестан,1,5
450,Полиция в Республике Ингушетия,3,6
453,Полиция в Кабардино-Балкарской Республике,2,7
457,Полиция в Республике Калмыкия,3,8
461,Полиция в Карачаево-Черкесской Республике,3,9
465,Номер вызова полиции Карелия,1,10
469,Полиция,1,11
474,Полиция ,3,12
477,Полиция ,2,13
481,Полиция,3,14
485,Полиция в Республике Северная Осетия (Алания),3,15
488,Полиция ,2,16
492,Дежурная часть МВД «02»,2,17
496,Полиция ,1,18
500,Полиция в Республике Хакасия,1,19
504,Полиция в Чеченской Республике,1,20
508,Полиция,1,21
511,Полиция в Краснодарском крае,3,23
515,Полиция,1,24
519,Полиция,3,25
523,Полиция в Ставропольском крае,3,26
527,Полиция,3,27
531,Полиция,3,28
534,Полиция в Астраханской области,2,30
539,Полиция в Белгородской области,1,31
543,Полиция в Брянской области,3,32
547,Полиция во Владимирской области,1,33
551,Полиция в Волгоградской области,3,34
555,Полиция в Вологодской области,1,35
558,Полиция в Воронежской области,1,36
562,Полиция,3,37
566,Полиция,1,38
570,Полиция,1,39
574,Полиция в Калужской области,1,40
578,Полиция,3,41
581,Полиция в Кемеровской области,1,43
584,Полиция ,2,44
588,Полиция в Костромской области,1,45
592,Полиция в Курганской области,1,46
596,Полиция Курской области,3,47
601,Полиция в Ленинградской области,1,48
604,Полиция в Липецкой области,3,49
608,Полиция,3,50
610,Полиция в Московской области,1,51
614,Полиция в Мурманской области,1,52
617,Полиция,1,53
621,Полиция в Новосибирской области,1,55
625,Полиция Омской области,1,56
629,Полиция,1,57
632,Полиция,3,58
635,Полиция,1,59
639,Полиция ,3,60
643,Полиция,1,62
647,Полиция в Ростовской области,3,63
651,Полиция в Рязанской области,1,64
655,Полиция,3,65
657,Полиция,2,66
661,Полиция,3,67
664,Полиция в Свердловской области,1,68
668,Полиция,1,69
671,Полиция в Тамбовской области,2,70
675,Полиция в Тверской области,1,71
679,Полиция в Томской области,3,72
683,Полиция в Тульской области,1,73
687,Полиция,1,75
691,Дежурно-диспетчерская служба полиции на территории Забайкальского края,3,77
694,Полиция в Ярославской области,2,79
700,Полиция,3,82
704,Полиция,1,86
708,Полиция,3,90
