placer_regNum	placer_fullName	placer_inn	placer_kpp	initiator_regNum	initiator_fullName	initiator_inn	initiator_kpp	shortName	ogrn	rbs_regNum	rbs_fullName	grbs_regNum	grbs_fullName	orgType	okfs_code	okfs_name	okopf_code	okopf_name	okogu_code	okogu_name	okpo_code	okato_code	okato_name	okved_code	address_zip	address_subject_code	address_subject_name	address_locality_code	address_locality_name	address_city_code	address_city_name	address_street_code	address_street_name	address_building	address_office	institutionType_code	institutionType_name	ppo_code	ppo_name	ppo_okato_code	ppo_okato_name	ppo_oktmo_code	ppo_oktmo_name	phone	www	email	oktmo_code	oktmo_name	chief_lastName	chief_firstName	chief_middleName	chief_position	founder_regNum	founder_fullName
0311100000115	государственное бюджетное учреждение "Автохозяйство УВД по городу Набережные Челны"	1650049414	165001001	0311100000115	государственное бюджетное учреждение "Автохозяйство УВД по городу Набережные Челны"	1650049414	165001001	АТХ УВД по городу Н. Челны	1041616008169	0111100000043	Министерство внутренних дел по Республике Татарстан	0173100000062	Министерство внутренних дел Российской Федерации	03	12	Федеральная собственность	72	Бюджетные учреждения	1310500	Министерство внутренних дел Российской Федерации	08598630	92430000000	Набережные Челны	74.30.7,60.23,75.14,60.24,50.20	423812	16000000000	Татарстан Респ			16000002000	Набережные Челны г			13а		9900000	Прочие	00000000000	00000000000	00000000000	Объекты административно-территориального деления, кроме сельских населенных пунктов	92700000	Городские округа Республики Татарстан (Татарстана)/	7-8552-379386		atxuvd-3@yandex.ru	92730000	- Город Набережные Челны	Исмагилов	Рашит	Файзиевич	Начальник АТХ	0173100000062	Министерство внутренних дел Российской Федерации
0311100000090	отдел вневедомственной охраны отдела полиции  "Электротехнический" Управления Министерства внутренних дел Российской Федерации по городу Набережные Челны	1650027379	165001001	0311100000090	отдел вневедомственной охраны отдела полиции  "Электротехнический" Управления Министерства внутренних дел Российской Федерации по городу Набережные Челны	1650027379	165001001	ОВО ОП  "Электротехнический" Управления МВД РФ по городу Набережные Челны	1021602015291	0311100000123	Управление вневедомственной охраны Министерства внутренних дел по Республике Татарстан	0173100000062	Министерство внутренних дел Российской Федерации	03	12	Федеральная собственность	72	Бюджетные учреждения	1310500	Министерство внутренних дел Российской Федерации	08727730	92430000000	Набережные Челны	75.24.1	423812	16000000000	Татарстан Респ			16000002000	Набережные Челны г			13		9900000	Прочие	00000000000	00000000000	00000000000	Объекты административно-территориального деления, кроме сельских населенных пунктов	92730000	- Город Набережные Челны	8-8552-396950		ovo.eovd@mail.ru	92730000	- Город Набережные Челны	Калимуллин	Рустам	Идрисович	начальник подразделения	0173100000062	Министерство внутренних дел Российской Федерации
0311100000139	отдел вневедомственной охраны Управления Министерства внутренних дел Российской Федерации по Нижнекамскому району	1651013026	165101001	0311100000139	отдел вневедомственной охраны Управления Министерства внутренних дел Российской Федерации по Нижнекамскому району	1651013026	165101001	ОВО Управления МВД РФ по Нижнекамскому району	1021602497410	0311100000123	Управление вневедомственной охраны Министерства внутренних дел по Республике Татарстан	0173100000054	Министерство внутренних дел Российской Федерации	03	12	Федеральная собственность	72	Бюджетные учреждения	1310500	Министерство внутренних дел Российской Федерации	08727813	92435000000	Нижнекамск	75.24.1	423570	16000000000	Татарстан Респ			16031001000	Нижнекамск г			11		0617010	Государственное учреждение	00000000000	00000000000	00000000000	Объекты административно-территориального деления, кроме сельских населенных пунктов	92701000	- Город Казань	8-555-320442		ovonk.buh@yandex.ru	92644101	- Город Нижнекамск	Крохин	Сергей	Викторович	Начальник	0173100000062	Управление вневедомственной охраны Министерства внутренних дел по Республике Татарстан
0311100000093	отдел вневедомственной охраны отдела Министерства внутренних дел Российской Федерации по Менделеевскому району	1627000107	162701001	0311100000093	отдел вневедомственной охраны отдела Министерства внутренних дел Российской Федерации по Менделеевскому району	1627000107	162701001	ОВО отдела МВД РФ по Менделеевскому району	1021601116217	0311100000123	Управление вневедомственной охраны Министерства внутренних дел по Республике Татарстан	0173100000062	Министерство внутренних дел Российской Федерации	03	12	Федеральная собственность	72	Бюджетные учреждения	1310500	Министерство внутренних дел Российской Федерации	08727996	92239501000	Менделеевск	75.24.1	423650	16000000000	Татарстан Респ			16028001000	Менделеевск г	160280010000048		5		9900000	Прочие	00000000000	00000000000	00000000000	Объекты административно-территориального деления, кроме сельских населенных пунктов	92639101	- Город Менделеевск	643-885549-21691	http://ovo52@mail.ru	ovo52@mail.ru	92639101	- Город Менделеевск	Юнусов	Габбас	Сабакасович	Начальник	0173100000140	Министерство Российской Федерации по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий
0311100000062	отдел вневедомственной охраны отдела Министерства  внутренних дел Российской Федерации по Азнакаевскому району	1643000880	164301001	0311100000062	отдел вневедомственной охраны отдела Министерства  внутренних дел Российской Федерации по Азнакаевскому району	1643000880	164301001	ОВО отдела МВД РФ по Азнакаевскому району	1001601569925	0311100000123	Управление вневедомственной охраны Министерства внутренних дел по Республике Татарстан	0173100000054	Министерство внутренних дел Российской Федерации	03	12	Федеральная собственность	72	Бюджетные учреждения	1310500	Министерство внутренних дел Российской Федерации	08727859	92403000000	Азнакаево	75.24.1	423330	16000000000	Татарстан Респ			16003001000	Азнакаево г	160030010000072		10/а		9900000	Прочие	00000000000	00000000000	00000000000	Объекты административно-территориального деления, кроме сельских населенных пунктов	92701000	- Город Казань	7-85592-72484			92602101	- Город Азнакаево	Ахметханов	Илдар	Флюрович	Начальник	0173100000062	Министерство внутренних дел Российской Федерации
0811100000043	Филиал федерального государственного казенного образовательного учреждения дополнительного профессионального образования "Всероссийский институт повышения квалификации сотрудников МВД России" (г.Набережные Челны)	5009003774	165043001	0811100000043	Филиал федерального государственного казенного образовательного учреждения дополнительного профессионального образования "Всероссийский институт повышения квалификации сотрудников МВД России" (г.Набережные Челны)	5009003774	165043001	Филиал ВИПК МВД России (г. Набережные Челны)	1025001275804	0348100000686	федеральное государственное казенное образовательное учреждение дополнительного профессионального образования "Всероссийский институт повышения квалификации сотрудников МВД России"	0173100000062	Министерство внутренних дел Российской Федерации	08	12	Федеральная собственность	90	Представительства и филиалы	1310500	Министерство внутренних дел Российской Федерации	08682690	92430000000	Набережные Челны	45.33,92.62,80.22.22,75.24.1,60.23,45.4,22.22,80.30.3,45.31,74.84,72.20,45.21.4,80.42,60.24	423812	16000000000	Республика Татарстан			16000002000	Набережные Челны			8		1012010	Институт повышения квалификации (институт усовершенствования)	00000000000	00000000000	00000000000	Объекты административно-территориального деления, кроме сельских населенных пунктов	46709000	- Город Домодедово	7-8552-461304		chelny_vipk@mail.ru	92730000	- Город Набережные Челны	Гарипов	Рустам	Шамилевич	Начальник Филиала ВИПК МВД России (г. Набережные Челны) 	0173100000062	Министерство внутренних дел Российской Федерации
0311100000128	отдел вневедомственной охраны отдела полиции "Центральный" Управления Министерства внутренних дел Российской Федерации по городу Набережные Челны	1650054566	165001001	0311100000128	отдел вневедомственной охраны отдела полиции "Центральный" Управления Министерства внутренних дел Российской Федерации по городу Набережные Челны	1650054566	165001001	ОВО ОП "Центральный" Управления  МВД РФ по городу Набережные Челны	1021602020362	0311100000123	Управление вневедомственной охраны Министерства внутренних дел по Республике Татарстан	0173100000062	Министерство внутренних дел Российской Федерации	03	12	Федеральная собственность	72	Бюджетные учреждения	1310500	Министерство внутренних дел Российской Федерации	08727747	92430000000	Набережные Челны	75.24.1	423831	16000000000	Татарстан Респ			16000002000	Набережные Челны г			59А		9900000	Прочие	00000000000	00000000000	00000000000	Объекты административно-территориального деления, кроме сельских населенных пунктов	92730000	- Город Набережные Челны	643-8552-528785		ovo.centr@mail.ru	92730000	- Город Набережные Челны	Баязитов	Фанис	Идрисович	Начальник отдела	0173100000062	Министерство внутренних дел Российской Федерации
0311100000064	отдел вневедомственной охраны отдела полиции "Комсомольский" Управления Министерства внутренних дел Российской Федерации по городу Набережные Челны	1650026086	165001001	0311100000064	отдел вневедомственной охраны отдела полиции "Комсомольский" Управления Министерства внутренних дел Российской Федерации по городу Набережные Челны	1650026086	165001001	ОВО ОП "Комсомольский" Управления МВД РФ по городу Набережные Челны	1021602018855	0311100000123	Управление вневедомственной охраны Министерства внутренних дел по Республике Татарстан	0173100000062	Министерство внутренних дел Российской Федерации	03	12	Федеральная собственность	72	Бюджетные учреждения	1310500	Министерство внутренних дел Российской Федерации	08689768	92430000000	Набережные Челны	75.24.1	423824	16000000000	Татарстан Респ			16000002000	Набережные Челны г			37		9900000	Прочие	00000000000	00000000000	00000000000	Объекты административно-территориального деления, кроме сельских населенных пунктов	92730000	- Город Набережные Челны	643-8552-715110			92730000	- Город Набережные Челны	Дырин	Геннадий	Николаевич	начальник	0173100000062	Министерство внутренних дел Российской Федерации
0311100000079	отдел вневедомственной охраны отдела Министерства внутренних дел Российской Федерации по Буинскому району	1614002690	161401001	0311100000079	отдел вневедомственной охраны отдела Министерства внутренних дел Российской Федерации по Буинскому району	1614002690	161401001	ОВО отдела МВД РФ по  Буинскому району	1021606552472	0311100000123	Управление вневедомственной охраны Министерства внутренних дел по Республике Татарстан	0173100000062	Министерство внутренних дел Российской Федерации	03	12	Федеральная собственность	72	Бюджетные учреждения	1310500	Министерство внутренних дел Российской Федерации	08727919	92412000000	Буинск	75.24.1	422430	16000000000	Татарстан Респ			16015001000	Буинск г	160150010000067		59		0900000	Национальная оборона	00000000000	00000000000	00000000000	Объекты административно-территориального деления, кроме сельских населенных пунктов			843-74-37249			92600000	Муниципальные районы Республики Татарстан (Татарстана)	КАЛИМУЛЛИН	ВАГИБ	ГАЛИМУЛОВИЧ	Руководитель юридического лица	0173100000062	Министерство внутренних дел Российской Федерации
0311100000021	Войсковая часть 5561	1656001017	165601001	0311100000021	Войсковая часть 5561	1656001017	165601001		1031624001232	0140100000042	Войсковая часть 6676	0173100000062	Министерство внутренних дел Российской Федерации	08	12	Федеральная собственность	72	Бюджетные учреждения	1310500	Министерство внутренних дел Российской Федерации	08578046	92401370000	Кировский	75.22	420030	16000000000	Республика Татарстан			16000001000	Казань			3		0907000	Воинская часть	00000000000	00000000000	00000000000	Объекты административно-территориального деления, кроме сельских населенных пунктов	92701000	- Город Казань	7-843-5549060			92701000	- Город Казань	Завгороднев	Анатолий	Васильевич	командир войсковой части	0173100000062	Министерство внутренних дел Российской Федерации
0311100000123	Управление вневедомственной охраны Министерства внутренних дел по Республике Татарстан	1654009726	165501001	0311100000123	Управление вневедомственной охраны Министерства внутренних дел по Республике Татарстан	1654009726	165501001	УВО МВД по Республике Татарстан	1021602851489	0111100000043	Министерство внутренних дел по Республике Татарстан	0173100000062	Министерство внутренних дел Российской Федерации	03	12	Федеральная собственность	72	Бюджетные учреждения	1310500	Министерство внутренних дел Российской Федерации	08596759	92401367000	Вахитовский	75.24.1	420111	16000000000	Республика Татарстан			16000001000	Казань			20		0900000	Национальная оборона	00000000000	00000000000	00000000000	Объекты административно-территориального деления, кроме сельских населенных пунктов	92701000	- Город Казань	643-843-2314410	http://УВОТатарстана. рф		92701000	- Город Казань	Шакиров	Марат	Азатович	начальник	0173100000062	Министерство внутренних дел Российской Федерации
0311100000137	отделение вневедомственной охраны отдела Министерства  внутренних дел Российской Федерации по Пестречинскому району	1633000747	163301001	0311100000137	отделение вневедомственной охраны отдела Министерства  внутренних дел Российской Федерации по Пестречинскому району	1633000747	163301001	ОВО отдела МВД РФ по Пестречинскому району	1021607354053	0311100000123	Управление вневедомственной охраны Министерства внутренних дел по Республике Татарстан	0173100000062	Министерство внутренних дел Российской Федерации	03	12	Федеральная собственность	72	Бюджетные учреждения	1310500	Министерство внутренних дел Российской Федерации	08728020	92248855001	с Пестрецы	75.24.1	422770	16000000000	Татарстан Респ	16034000001	Пестрецы с			160340000010010		40		9900000	Прочие	00000000000	00000000000	00000000000	Объекты административно-территориального деления, кроме сельских населенных пунктов	92648000	Пестречинский муниципальный район	884-367-30315		ovo_37@mail.ru	92648000	Пестречинский муниципальный район	Фирстов	Иван	Николаевич	начальник	0173100000062	Министерство внутренних дел Российской Федерации
0311100000088	отдел вневедомственной охраны отдела Министерства внутренних дел Российской Федерации по Сармановскому району	1636002340	163601001	0311100000088	отдел вневедомственной охраны отдела Министерства внутренних дел Российской Федерации по Сармановскому району	1636002340	163601001	ОВО отдела МВД РФ по Сармановскому району	1021601311984	0311100000123	Управление вневедомственной охраны Министерства внутренних дел по Республике Татарстан	0173100000054	Министерство внутренних дел Российской Федерации	03	12	Федеральная собственность	72	Бюджетные учреждения	1310500	Министерство внутренних дел Российской Федерации	08728066	92253860001	с Сарманово	75.24.1	423350	16000000000	Татарстан Респ	16037000001	Сарманово с			160370000010002		46		0900000	Национальная оборона	00000000000	00000000000	00000000000	Объекты административно-территориального деления, кроме сельских населенных пунктов			7-85559-24979		sarmanofk@mail.ru	92653460	- Сармановское	Халиков	Айдар	Аухатович	И.О. начальника	0173100000062	Министерство внутренних дел Российской Федерации
0311100000061	государственное бюджетное учреждение "Автохозяйство МВД по Республике Татарстан"	1654004083	165501001	0311100000061	государственное бюджетное учреждение "Автохозяйство МВД по Республике Татарстан"	1654004083	165501001	АТХ МВД по Республике Татарстан	1021603062667	0111100000043	Министерство внутренних дел по Республике Татарстан	0173100000062	Министерство внутренних дел Российской Федерации	03	12	Федеральная собственность	72	Бюджетные учреждения	1310500	Министерство внутренних дел Российской Федерации	08591704	92401367000	Вахитовский	74.30.7,60.23,75.14,50.20,60.24	420021	16000000000	Республика Татарстан			16000001000	Казань			42		9900000	Прочие	00000000000	00000000000	00000000000	Объекты административно-территориального деления, кроме сельских населенных пунктов	92701000	- Город Казань	7-843-2913661			92701000	- Город Казань	Хайруллин	Рамил	Яруллович	начальник	0173100000062	Министерство внутренних дел Российской Федерации
