NUMLICDOC	LAWADDRESS	NUMBER	LICENSEFK	ORGNAME	SYS_GUID	DATELICDOC	SCHOOLNAME	SHORTNAME
2114	450091, Республика Башкортостан, г. Уфа, ул. Муксинова, д. 2	1	57BA44B5167760F598A526FFE684CCC3	Федеральная служба по надзору в сфере образования и науки	0239F479E2B57D8FCB7425ACB7C9119A	01.11.2005	федеральное государственное образовательное учреждение высшего профессионального образования «Уфимский юридический институт Министерства внутренних дел Российской Федерации»	
2172	680020, Хабаровский край, г. Хабаровск, пер. Казарменный, д. 15	1	D4E78C53E46148284907118A33AF5A67	Федеральная служба по надзору в сфере образования и науки	D9EA6B3986F710008119C083D6C51CE2	17.11.2005	федеральное государственное образовательное учреждение высшего профессионального образования «Дальневосточный юридический институт Министерства внутренних дел Российской Федерации»	
817-06	426021, Удмуртская Республика, г. Ижевск, городок Машиностроителей, д. 116	1	A65F231BA8BDC12AC72F9796BE33690A	Федеральная служба по надзору в сфере образования и науки	502A7E335EA3FDA153D788544C21F755	07.04.2010	Ижевский филиал федерального государственного образовательного учреждения высшего профессионального образования «Нижегородская академия Министерства внутренних дел Российской Федерации»	
1240-06	677015, Республика Саха (Якутия), г. Якутск, ул. Якутская, д. 2	1	98ECDD28B72981D4296AF1D2D299CCF9	Федеральная служба по надзору в сфере образования и науки	CECC2A55B5DBB140942F6F8619C3F8D3	05.06.2009	Якутский филиал федерального государственного образовательного учреждения высшего профессионального образования «Дальневосточный юридический институт Министерства внутренних дел Российской Федерации»	
817-06	614038, Пермский край, г. Пермь, ул. Академика Веденеева, д. 100	1	C05EFFCEF2C38B31EECBDE4A6E36B39A	Федеральная служба по надзору в сфере образования и науки	D605409EA2C2FA19296ECCF70BDEF4C0	07.04.2010	Пермский филиал федерального государственного образовательного учреждения высшего профессионального образования «Нижегородская академия Министерства внутренних дел Российской Федерации»	
1578	167018,  г. Сыктывкар, ул. Менделеева, д. 4	1	0014570AC9092C41786E9256130EC2E6	Федеральная служба по надзору в сфере образования и науки	8083A425FFE9F85078A29184A4E26589	19.06.2007	Сыктывкарский филиал Государственного образовательного учреждения среднего профессионального образования «Московская специальная средняя школа милиции Министерства внутренних дел Российской Федерации»	
817-06	428000, Чувашская Республика, г. Чебоксары, ул. Шевченко, д. 23	1	F161664452D7EA4C77CA668406FA0553	Федеральная служба по надзору в сфере образования и науки	9906DAEB7B58B84100DDD9B61314C7DC	07.04.2010	Чебоксарский филиал федерального государственного образовательного учреждения высшего профессионального образования «Нижегородская академия Министерства внутренних дел Российской Федерации»	Чебоксарский филиал Нижегородской академии МВД России или ЧФ НА МВД России
1113-06	690087, Приморский край, г. Владивосток, ул. Котельникова, д. 21	1	BD13DBF14BDEFE7F3A6F8D6CAD9FDFE0	Федеральная служба по надзору в сфере образования и науки	EB2FEBB7DF2BB07CB603824DBA35244F	19.05.2009	Владивостокский филиал федерального государственного образовательного учреждения высшего профессионального образования «Дальневосточный юридический институт Министерства внутренних дел Российской Федерации»	
2144	625049, г. Тюмень, ул. Амурская, д. 75	2	16174D508E1D82F63F6370B18FCF0646		9994C4A446D1934B484C7D76C27F2866	04.10.2011	федеральное государственное образовательное учреждение высшего профессионального образования «Тюменский юридический институт Министерства внутренних дел Российской Федерации»	
1751-06	302027, Орловская область, г. Орел, ул. Игнатова, д. 2	1	0CE0BBCDFECDA3C098D4866076F55C93	Федеральная служба по надзору в сфере образования и науки	C9B1D4B8FF3DA157D38CABF2755824BD	02.11.2009	Федеральное государственное образовательное учреждение высшего профессионального образования «Орловский юридический институт Министерства внутренних дел Российской Федерации»	ОрЮИ МВД России
