id	uniqid	name	filename	xlsfilename
36176	emiss_36176	Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде)	data_36176.xml	data_36176.xls
36177	emiss_36177	Количество выявленных сотрудниками органов следствия беспризорных и безнадзорных несовершеннолетних	data_36177.xml	data_36177.xls
36178	emiss_36178	Количество выявленных сотрудниками органов следствия несовершеннолетних, совершивших административные правонарушения	data_36178.xml	data_36178.xls
36179	emiss_36179	Количество выявленных сотрудниками органов следствия несовершеннолетних, совершивших уголовные правонарушения	data_36179.xml	data_36179.xls
36180	emiss_36180	Количество выявленных сотрудниками криминальной милиции беспризорных и безнадзорных несовершеннолетних	data_36180.xml	data_36180.xls
36181	emiss_36181	Количество выявленных сотрудниками криминальной милиции несовершеннолетних, совершивших административные правонарушения	data_36181.xml	data_36181.xls
36182	emiss_36182	Количество выявленных сотрудниками криминальной милиции несовершеннолетних, совершивших уголовные правонарушения	data_36182.xml	data_36182.xls
36183	emiss_36183	Количество выявленных сотрудниками милиции общественной безопасности беспризорных и безнадзорных несовершеннолетних	data_36183.xml	data_36183.xls
36184	emiss_36184	Количество выявленных сотрудниками милиции общественной безопасности несовершеннолетних, совершивших административные правонарушения	data_36184.xml	data_36184.xls
36185	emiss_36185	Количество выявленных сотрудниками милиции общественной безопасности несовершеннолетних, совершивших уголовные правонарушения	data_36185.xml	data_36185.xls
36186	emiss_36186	Количество выявленных беспризорных и безнадзорных несовершеннолетних	data_36186.xml	data_36186.xls
36187	emiss_36187	Количество выявленных несовершеннолетних,  совершивших административные правонарушения	data_36187.xml	data_36187.xls
36188	emiss_36188	Количество выявленных несовершеннолетних, совершивших уголовные правонарушения	data_36188.xml	data_36188.xls
36189	emiss_36189	Всего прекращено дел в связи с установлением личности(количество)	data_36189.xml	data_36189.xls
36190	emiss_36190	Всего дел по установлению личности граждан по неопознанным трупам, находившихся на учете (количество)	data_36190.xml	data_36190.xls
36191	emiss_36191	Установлено пропавших без вести лиц из числа находившихся в розыске	data_36191.xml	data_36191.xls
36192	emiss_36192	Установлено лиц из числа находившихся в розыске, скрывшихся от органов дознания, следствия, суда	data_36192.xml	data_36192.xls
36193	emiss_36193	Установлено лиц из числа находившихся в розыске	data_36193.xml	data_36193.xls
36194	emiss_36194	Разыскивалось лиц,  пропавших без вести	data_36194.xml	data_36194.xls
